Player,Team,Camera shake,FOV,Height,Angle,Distance,Stiffness,Swivel speed,Transition speed,Ball camera,Last updated
creed,GENT,No,110,90,-3.0,240,0.70,6.50,1.40,Toggle,2024-05-21
Crespt,CAPS,No,110,90,-5.0,270,0.35,5.00,2.00,Toggle,2025-05-01
Crimson,,No,110,110,-4.0,250,0.60,7.00,1.20,Toggle,2022-09-05
Crimz,MIZZ,No,109,90,-4.0,270,0.45,3.00,1.20,Toggle,2025-02-23
Crispy,PPS,No,110,100,-3.0,270,0.30,10.00,1.70,Toggle,2025-01-19
crn,TS,No,110,100,-3.0,280,0.45,10.00,1.80,Toggle,2022-01-30
CrowsShinyWings,,No,110,100,-4.0,260,0.60,5.00,1.50,Toggle,2021-07-15
crr,,No,110,90,-5.0,270,0.35,6.00,1.50,Toggle,2025-05-11
Cryptic,CC,No,110,100,-5.0,270,0.40,4.70,1.20,Toggle,2022-01-02
cx9,,No,110,100,-3.0,270,0.35,10.00,1.00,Toggle,2023-04-30
Cynical,,No,110,90,-3.0,260,0.45,4.50,1.20,Toggle,2021-05-09
Cyrix,,No,110,100,-5.0,260,0.50,6.00,1.00,Toggle,2021-05-09
D3Funct,,No,110,100,-3.0,260,0.45,10.00,1.40,Toggle,2023-05-21
D7oMQ.,DFIH,No,110,90,-5.0,270,0.50,3.60,1.20,Toggle,2024-06-07
d7oom-24,FLCN,No,110,100,-3.0,270,0.50,7.00,1.40,Toggle,2021-10-10
DAYYS!,,No,110,90,-5.0,270,0.35,6.90,1.60,Toggle,2025-05-20
DaSnakesnake,LMIX,No,110,100,-3.0,270,0.35,4.40,1.40,Toggle,2024-06-01
dabbe,FF,No,110,100,-3.0,270,0.35,5.00,1.40,Toggle,2025-03-02
Dadooh,,No,110,110,-3.0,270,0.35,4.70,1.40,Toggle,2021-05-09
daffy,,No,110,90,-5.0,270,0.45,5.60,1.00,Toggle,2023-01-23
Daisu,,No,110,100,-5.0,270,0.40,3.50,1.20,Toggle,2022-09-17
Dalton,UTD,No,110,100,-5.0,270,0.40,4.50,1.50,Toggle,2021-05-06
dan,,No,110,110,-4.0,250,0.40,4.70,1.20,Toggle,2022-04-27
Daniel,NRG,No,110,90,-6.0,260,0.55,4.70,1.20,Toggle,2025-10-24
Dansku,DAP,No,110,110,-3,270,0.40,10.0,1.20,Toggle,2021-12-04
Dappluto,OVER,No,109,90,-4.0,270,0.45,5.60,1.70,Toggle,2022-10-27
Dappur,,No,110,100,-4.0,270,0.45,6.00,1.20,Toggle,2021-07-22
Dapz,,No,110,100,-4.0,290,0.65,8.40,1.30,Toggle,2022-05-30
Dark,CLDM,No,110,110,-3.0,290,0.40,5.00,1.30,Toggle,2021-07-01
Dark(?),,No,110,90,-5.0,270,0.40,10.00,1.50,Toggle,2025-05-26
darklight,,No,110,90,-5.0,270,0.40,8.00,1.60,Toggle,2023-08-08
Darou,,No,110,90,-6.0,270,0.40,5.00,1.20,Toggle,2022-04-19
Darth.,,No,108,100,-3.0,270,0.35,10.00,1.70,Toggle,2023-06-11
Data,,No,110,110,-3.0,280,0.45,4.70,1.20,Toggle,2021-05-09
davinsano,TS,No,109,100,-3.0,270,0.45,6.20,1.30,Toggle,2022-10-17
Davitrox,SHI,No,110,100,-2.0,260,0.45,4.20,2.00,Toggle,2021-12-15
davoof,PMR,No,110,90,-4.0,270,0.40,7.00,1.40,Toggle,2021-03-25
dayyshift,FB,No,110,100,-4.0,270,0.40,7.40,1.70,Toggle,2025-02-16
Daze,,No,110,100,-2.0,250,0.55,6.00,1.20,Toggle,2021-05-09
Dead-Monster,20S,No,110,100,-4.0,270,0.40,10.00,1.30,Toggle,2022-08-18
Declan,,No,110,100,-3.0,270,0.35,4.70,1.30,Toggle,2022-10-17
